Semester, CourseCode, CourseTitle, Credits, L, T, P
1, ENSH 101, Engineering Mathematics I, 3, 3, 2, 0
1, ENSH 103, Engineering Chemistry, 3, 3, 1, 3
1, ENCT 101, Computer Programming, 3, 3, 1, 3
1, ENEX 101, Fundamental of Electrical and Electronics Engineering, 3, 3, 1, 3
1, ENME 101, Engineering Drawing, 2, 2, 0, 4
1, ENME 103, Engineering Mechanics I, 3, 3, 1, 0
2, ENSH 151, Engineering Mathematics II, 3, 3, 2, 0
2, ENSH 152, Engineering Physics, 4, 4, 1, 2
2, ENME 151, Engineering Thermodynamics I, 3, 3, 1, 1.5
2, ENME 152, Machine Drawing, 2, 2, 4, 0
2, ENME 153, Engineering Mechanics II, 3, 3, 1, 0
2, ENME 155, Workshop Technology, 3, 3, 1, 3
3, ENSH 201, Engineering Mathematics III, 3, 3, 2, 0
3, ENME 201, Material Science, 3, 3, 1, 1.5
3, ENME 202, Manufacturing and Production Processes, 3, 3, 1, 3
3, ENME 203, Engineering Thermodynamics II, 3, 3, 1, 1.5
3, ENME 204, Metrology, 3, 3, 0, 1.5
3, ENME 205, Strength of Materials, 3, 3, 1, 1.5
4, ENSH 253, Probability and Statistics, 3, 3, 1, 0
4, ENEE 254, Electrical Machines, 4, 4, 1, 1.5
4, ENME 251, Mechanics of Solids, 3, 3, 1, 1.5
4, ENME 252, Instrumentation and Sensors, 3, 3, 1, 1.5
4, ENME 253, Computer Aided Design, 3, 3, 1, 1.5
4, ENME 254, Fluid Mechanics with Engineering Applications, 3, 3, 1, 1.5
5, ENCE 307, Control System and Automation, 3, 3, 1, 1.5
5, ENSH 301, Numerical Methods, 3, 3, 1, 3
5, ENME 301, Automotive Technology, 3, 3, 1, 1.5
5, ENME 302, Fluid Machines, 3, 3, 1, 1.5
5, ENME 303, Theory of Machines and Mechanism, 3, 3, 2, 0
5, ENME 304, Organization and Management, 3, 3, 1, 0
5, ENSH 303, Technical English, 1, 1, 0, 0
6, ENME 356, Professional Engineering Economics, 3, 3, 1, 0
6, ENME 351, Industrial Engineering and Management, 3, 3, 1, 0
6, ENME 352, Heat and Mass Transfer, 3, 3, 1, 1.5
6, ENME 353, Machine Design I, 3, 3, 1, 1.5
6, ENME 354, Machine Dynamics, 3, 3, 1, 1.5
6, ENME 355, Minor Project, 1, 0, 0, 0
6, ENME 365-384, Elective I, 3, 3, 2, 1
7, ENME 411, Enterpreneurship Development, 2, 2, 0, 0
7, ENME 412, Finite Element Method, 3, 3, 1, 1.5
7, ENME 413, Applied Computational Fluid Dynamics, 3, 3, 1, 1.5
7, ENME 414, Energy Resources and Technology, 3, 3, 1, 1.5
7, ENME 415, Machine Design II, 3, 3, 1, 1.5
7, ENME 425-444, Elective II, 3, 3, 2, 1
7, ENME 416, Project I, 2, 0, 0, 0
8, ENME 463, Project Management and Professional Practice, 3, 3, 1, 0
8, ENME 465-474, Elective III, 3, 3, 2, 1
8, ENME 461, Project II, 4, 0, 0, 0
8, ENME 462, Industrial Attachment, 4, 0, 0, 0
