course_id,name,sessions_per_week,duration,required_room_type,group_ids,qualified_instructor_ids
ENAR 151,Architectural Graphics II,2,50,lecture,13,
ENAR 152,Design Studio II,2,50,lecture,13,
ENAR 153,Building Construction I,2,50,lecture,13,
ENAR 155,Free Hand Sketching II,2,50,lecture,13,
ENCE 152,Engineering Geology II,2,50,lecture,7,
ENME 158,Engineering Drawing,2,50,lecture,7,
ENAR 255,Computer Aided Design and Drafting,2,50,lecture,14,
ENCE 261,Surveying,2,50,lecture,14,
ENAR 154,History of Nepalese Architecture,3,50,lecture,13,
ENAR 253,History of Western Architecture,3,50,lecture,14,
ENSH 251,Communication English,3,50,lecture,8,
ENME 153,Engineering Mechanics II,4,50,lecture,"5, 9, 11",
ENCE 153,Engineering Survey I,4,50,lecture,7,
ENCT 151,Object Oriented Programming,4,50,lecture,"3, 1",
ENCE 151,Strength of Materials,4,50,lecture,7,
ENEX 151,Electronic Device and Circuits,4,50,lecture,"3, 1",
ENEX 152,Digital Logic,4,50,lecture,"3, 1",
ENME 151,Engineering Thermodynamics I,4,50,lecture,"5, 9, 11",
ENME 155,Workshop Technology,4,50,lecture,"5, 9, 11",
ENSH 153,Engineering Chemistry,4,50,lecture,"5, 3, 1, 9",
ENAR 252,Building Science II,4,50,lecture,14,
ENAR 254,Design Theory II,4,50,lecture,14,
ENCE 260,Structure II,4,50,lecture,14,
ENCT 252,Data Structure and Algorithm,4,50,lecture,4,
ENCT 253,Data Communication,4,50,lecture,4,
ENCT 254,Operating System,4,50,lecture,4,
ENSH 253,Probability and Statistics,4,50,lecture,"8, 12",
ENCE 255,Building Technology,4,50,lecture,8,
ENEX 253,Computer Organization & Architecture,4,50,lecture,2,
ENEX 254,Electromagnetics,4,50,lecture,"4, 2",
ENEX 255,Signals and Systems,4,50,lecture,2,
ENIE 251,Metrology and Instrumentation,4,50,lecture,10,
ENIE 253,Work Study and Human Factor Engineering,4,50,lecture,10,
ENCT 251,Discrete Structure,4,50,lecture,2,
ENME 251,Mechanics of Solids,4,50,lecture,12,
ENME 252,Instrumentation and Sensors,4,50,lecture,"6, 12",
ENME 253,Computer Aided Design,4,50,lecture,"6, 12",
ENME 254,Fluid Mechanics with Engineering Applications,4,50,lecture,12,
ENME 255,Fluid Mechanics and Machines,4,50,lecture,"6, 10",
ENIE 252,Industrial Economics,4,50,lecture,10,
ENSH 252,Numerical Methods,4,50,lecture,"6, 4, 2, 10",
ENSH 151,Engineering Mathematics II,5,50,lecture,"5, 7, 3, 1, 9, 11",
