Semester,Dept, CourseCode, CourseTitle, Credits, L, T, P
1,BAE, ENSH 101, Engineering Mathematics I,3,3,2,0
1,BAE, ENSH 102, Engineering Physics,4,4,1,2
1,BAE, ENCT 101, Computer Programming,3,3,1,3
1,BAE, ENEX 101, Fundamental of Electrical and Electronics Engineering,3,3,1,3
1,BAE, ENME 101, Engineering Drawing,2,2,0,4
1,BAE, ENME 103, Engineering Mechanics I,3,3,1,0
2,BAE, ENSH 151, Engineering Mathematics II,3,3,2,0
2,BAE, ENSH 153, Engineering Chemistry,3,3,1,3
2,BAE, ENME 151, Engineering Thermodynamics I,3,3,1,1.5
2,BAE, ENME 152, Machine Drawing,2,2,4,0
2,BAE, ENME 153, Engineering Mechanics II,3,3,1,0
2,BAE, ENME 155, Workshop Technology,3,3,1,3
3,BAE, ENSH 201, Engineering Mathematics III,3,3,2,0
3,BAE, ENME 201, Material Science,3,3,1,1.5
3,BAE, ENME 202, Manufacturing and Production Processes,3,3,1,3
3,BAE, ENME 203, Engineering Thermodynamics II,3,3,1,1.5
3,BAE, ENME 204, Metrology,3,3,0,1.5
3,BAE, ENAM 201, Mechanics of Materials,3,3,2,1.5
4,BAE, ENSH 252, Numerical Methods,3,3,1,3
4,BAE, ENEE 254, Electrical Machines,4,4,1,1.5
4,BAE, ENME 252, Instrumentation and Sensors,3,3,1,1.5
4,BAE, ENME 255, Fluid Mechanics and Machines,3,3,1,1.5
4,BAE, ENME 253, Computer Aided Design,3,3,1,1.5
4,BAE, ENME 256, Theory of Machines and Mechanisms,3,3,2,0
5,BAE, ENSH 304, Probability and Statistics,3,3,1,0
5,BAE, ENME 304, Organization and Management,3,3,1,0
5,BAE, ENME 308, Heat and Mass Transfer,3,3,1,1.5
5,BAE, ENEE 307, Control System and Automation,3,3,1,1.5
5,BAE, ENAM 301, Electric and Hybrid Vehicles,3,3,1,1.5
5,BAE, ENAM 302, Automobile Engines,3,3,0,1.5
5,BAE, ENSH 303, Technical English,1,1,0,0
6,BAE, ENME 356, Professional Engineering Economics,3,3,1,0
6,BAE, ENME 351, Industrial Engineering and Management,3,3,1,0
6,BAE, ENAM 351, Automobile Chassis,3,3,1,1.5
6,BAE, ENAM 352, Automobile Component Design I,3,3,1,1.5
6,BAE, ENAM 353, Hydraulic and Pneumatic Systems,3,3,1,1.5
6,BAE, ENAM 354, Mini Project,1,0,0,0
6,BAE, ENAM 365-374, Elective I,3,3,2,1
7,BAE, ENME 411, Enterpreneurship Development,2,2,0,0
7,BAE, ENAM 425-434, Elective II,3,3,2,1
7,BAE, ENAM 411, Automobile Repair and Service Management,3,3,0,1.5
7,BAE, ENAM 412, Vehicle Dynamics,3,3,0,1.5
7,BAE, ENAM 413, Automobile Component Design II,3,3,1,1.5
7,BAE, ENAM 414, Engine Combustion & Pollution Control,3,3,1,1.5
7,BAE, ENAM 415, Project I,2,0,0,0
8,BAE, ENME 463, Project Management and Professional Practice,3,3,1,0
8,BAE, ENAM 465-474, Elective III,3,3,2,1
8,BAE, ENAM 462, Industrial Attachment,4,0,0,0
8,BAE, ENAM 461, Project II,4,0,0,0
1,BARCH, ENSH 104, Mathematics for Architecture I,3,3,2,0
1,BARCH, ENAR 101, Design Studio I,8,2,0,8
1,BARCH, ENAR 102, Introduction to Architecture,2,2,0,0
1,BARCH, ENAR 103, Building Material I,3,3,1,0
1,BARCH, ENAR 104, Architectural Graphics I,2,2,0,4
1,BARCH, ENAR 105, Free Hand Sketching I,2,2,0,3
2,BARCH, ENSH 155, Mathematics for Architecture II,3,3,2,0
2,BARCH, ENAR 151, Architectural Graphics II,2,2,0,3
2,BARCH, ENAR 152, Design Studio II,8,2,0,8
2,BARCH, ENAR 153, Building Construction I,2,2,0,3
2,BARCH, ENAR 154, History of Nepalese Architecture,3,3,0,1
2,BARCH, ENAR 155, Free Hand Sketching II,2,2,0,3
2,BARCH, ENCE 156, Applied Mechanics,3,3,2,0
3,BARCH, ENAR 201, Design Studio III,8,0,0,10
3,BARCH, ENAR 202, History of Eastern Architecture,3,3,0,1
3,BARCH, ENAR 203, Building Materials II,3,3,1,0
3,BARCH, ENAR 204, Design Theory I,3,3,1,0
3,BARCH, ENAR 205, Building Science I,3,3,1,0
3,BARCH, ENAR 206, Building Construction II,2,2,0,3
3,BARCH, ENCE 208, Structure I,3,3,1,0
4,BARCH, ENAR 251, Design Studio IV,8,0,0,10
4,BARCH, ENAR 252, Building Science II,3,3,1,0
4,BARCH, ENAR 253, History of Western Architecture,3,3,0,1
4,BARCH, ENAR 254, Design Theory II,3,3,1,0
4,BARCH, ENAR 255, Computer Aided Design and Drafting,2,2,0,2
4,BARCH, ENCE 260, Structure II,3,3,1,0
4,BARCH, ENCE 261, Surveying,2,2,0,4
5,BARCH, ENAR 301, Design Studio V,8,0,0,10
5,BARCH, ENAR 302, Contemporary Architecture,3,3,0,1
5,BARCH, ENAR 303, Building Construction III,2,2,0,3
5,BARCH, ENAR 304, Working Drawing,2,2,0,4
5,BARCH, ENAR 305, Sociology and Culture,2,2,0,0
5,BARCH, ENSH 302, Communication English,3,3,0,1
6,BARCH, ENAR 351, Design Studio VI,8,0,0,10
6,BARCH, ENAR 352, Building Construction IV,2,2,0,3
6,BARCH, ENAR 353, Human Settlement Planning,3,3,0,0
6,BARCH, ENAR 365-384, Elective I,3,3,0,0
6,BARCH, ENCE 359, Estimation and Specification,3,3,1,0
6,BARCH, ENCE 358, Building Services I,2,2,0,1.5
6,BARCH, ENEE 356, Building Services II,2,2,0,1.5
7,BARCH, ENAR 411, Practicum,8,0,0,0
8,BARCH, ENAR 461, Architectural Conservation,2,2,0,1
8,BARCH, ENAR 462, Design Studio VII,10,0,0,12
8,BARCH, ENAR 463, Sustainable Architecture,2,2,0,1
