Semester, CourseCode, CourseTitle, Credits, L, T, P
1, ENSH 101, Engineering Mathematics I, 3, 3, 2, 0
1, ENSH 102, Engineering Physics, 4, 4, 1, 2
1, ENCT 101, Computer Programming, 3, 3, 1, 3
1, ENEX 101, Fundamental of Electrical and Electronics Engineering, 3, 3, 1, 3
1, ENME 101, Engineering Drawing, 2, 2, 0, 4
1, ENME 103, Engineering Mechanics I, 3, 3, 1, 0
2, ENSH 151, Engineering Mathematics II, 3, 3, 2, 0
2, ENSH 153, Engineering Chemistry, 3, 3, 1, 3
2, ENME 151, Engineering Thermodynamics I, 3, 3, 1, 1.5
2, ENME 152, Machine Drawing, 2, 2, 4, 0
2, ENME 153, Engineering Mechanics II, 3, 3, 1, 0
2, ENME 155, Workshop Technology, 3, 3, 1, 3
3, ENSH 201, Engineering Mathematics III, 3, 3, 2, 0
3, ENME 201, Material Science, 3, 3, 1, 1.5
3, ENME 202, Manufacturing and Production Processes, 3, 3, 1, 3
3, ENME 203, Engineering Thermodynamics II, 3, 3, 1, 1.5
3, ENME 204, Metrology, 3, 3, 0, 1.5
3, ENAM 201, Mechanics of Materials, 3, 3, 2, 1.5
4, ENSH 252, Numerical Methods, 3, 3, 1, 3
4, ENEE 254, Electrical Machines, 4, 4, 1, 1.5
4, ENME 252, Instrumentation and Sensors, 3, 3, 1, 1.5
4, ENME 255, Fluid Mechanics and Machines, 3, 3, 1, 1.5
4, ENME 253, Computer Aided Design, 3, 3, 1, 1.5
4, ENME 256, Theory of Machines and Mechanisms, 3, 3, 2, 0
5, ENSH 304, Probability and Statistics, 3, 3, 1, 0
5, ENME 304, Organization and Management, 3, 3, 1, 0
5, ENME 308, Heat and Mass Transfer, 3, 3, 1, 1.5
5, ENCE 307, Control System and Automation, 3, 3, 1, 1.5
5, ENAM 301, Electric and Hybrid Vehicles, 3, 3, 1, 1.5
5, ENAM 302, Automobile Engines, 3, 3, 0, 1.5
5, ENSH 303, Technical English, 1, 1, 0, 0
6, ENME 356, Professional Engineering Economics, 3, 3, 1, 0
6, ENME 351, Industrial Engineering and Management, 3, 3, 1, 0
6, ENAM 351, Automobile Chassis, 3, 3, 1, 1.5
6, ENAM 352, Automobile Component Design I, 3, 3, 1, 1.5
6, ENAM 353, Hydraulic and Pneumatic Systems, 3, 3, 1, 1.5
6, ENAM 354, Mini Project, 1, 0, 0, 0
6, ENAM 365-374, Elective I, 3, 3, 2, 1
7, ENME 411, Enterpreneurship Development, 2, 2, 0, 0
7, ENAM 425-434, Elective II, 3, 3, 2, 1
7, ENAM 411, Automobile Repair and Service Management, 3, 3, 0, 1.5
7, ENAM 412, Vehicle Dynamics, 3, 3, 0, 1.5
7, ENAM 413, Automobile Component Design II, 3, 3, 1, 1.5
7, ENAM 414, Engine Combustion & Pollution Control, 3, 3, 1, 1.5
7, ENAM 415, Project I, 2, 0, 0, 0
8, ENME 463, Project Management and Professional Practice, 3, 3, 1, 0
8, ENAM 465-474, Elective III, 3, 3, 2, 1
8, ENAM 462, Industrial Attachment, 4, 0, 0, 0
8, ENAM 461, Project II, 4, 0, 0, 0
