Semester, CourseCode, CourseTitle, Credits, L, T, P
1, ENSH 101, Engineering Mathematics I, 3, 3, 2, 0
1, ENCT 101, Computer Programming, 3, 3, 1, 3
1, ENME 101, Engineering Drawing, 2, 2, 0, 4
1, ENEX 101, Fundamental of Electrical and Electronics Engineering, 3, 3, 1, 3
1, ENSH 102, Engineering Physics, 4, 4, 1, 2
1, ENME 106, Engineering Workshop, 1, 1, 0, 3
2, ENSH 151, Engineering Mathematics II, 3, 3, 2, 0
2, ENCT 151, Object Oriented Programming, 3, 3, 1, 3
2, ENEX 152, Digital Logic, 3, 3, 1, 3
2, ENEX 151, Electronic Device and Circuits, 3, 3, 1, 3
2, ENSH 153, Engineering Chemistry, 3, 3, 1, 3
2, ENEE 154, Electrical Circuits and Machines, 4, 4, 1, 1.5
3, ENSH 201, Engineering Mathematics III, 3, 3, 2, 0
3, ENSH 204, Communication English, 3, 3, 0, 1
3, ENCT 201, Computer Graphics and Visualization, 3, 3, 1, 3
3, ENCT 202, Foundation of Data Science, 3, 3, 1, 3
3, ENCT 203, Theory of Computation, 3, 3, 1, 0
3, ENEX 201, Microprocessors, 3, 3, 1, 3
4, ENSH 252, Numerical Methods, 3, 3, 1, 3
4, ENEX 252, Instrumentation, 4, 4, 1, 1.5
4, ENEX 254, Electromagnetics, 3, 3, 1, 1.5
4, ENCT 252, Data Structure and Algorithm, 3, 3, 1, 3
4, ENCT 253, Data Communication, 3, 3, 1, 1.5
4, ENCT 254, Operating System, 3, 3, 1, 1.5
5, ENSH 304, Probability and Statistics, 3, 3, 1, 0
5, ENCT 301, Database Management System, 3, 3, 1, 3
5, ENCT 302, Web Application Programming, 3, 3, 1, 3
5, ENCT 303, Computer Organization and Architecture, 3, 3, 1, 1.5
5, ENCT 304, Computer Networks, 3, 3, 1, 3
5, ENCT 325-344, Elective I, 3, 3, 2, 1
6, ENCE 356, Engineering Economics, 3, 3, 1, 0
6, ENCT 351, Artificial Intelligence, 3, 3, 1, 3
6, ENCT 352, Software Engineering, 3, 3, 1, 1.5
6, ENCT 353, Simulation and Modeling, 3, 3, 1, 1.5
6, ENCT 354, Minor Project, 1, 0, 0, 0
6, ENCT 385-399, Elective II, 3, 3, 2, 1
7, ENEX 416, Digital Signal Analysis and Processing, 4, 4, 1, 1.5
7, ENCT 411, Distributed and Cloud Computing, 3, 3, 1, 1.5
7, ENCT 412, ICT Project Management, 3, 3, 1, 0
7, ENEX 417, Energy Environment and Social Engineering, 3, 3, 0, 0
7, ENCT 435-444, Elective III, 3, 3, 2, 1
7, ENCT 413, Project I, 2, 0, 0, 0
8, ENCT 463, Network and Cyber Security, 3, 3, 1, 1.5
8, ENCT 465-474, Elective IV, 3, 3, 2, 1
8, ENCT 462, Internship, 4, 0, 0, 0
8, ENCT 461, Project II, 4, 0, 0, 0
