Semester, CourseCode, CourseTitle, Credits, L, T, P
1, ENSH 101, Engineering Mathematics I, 3, 3, 2, 0
1, ENSH 102, Engineering Physics, 4, 4, 1, 2
1, ENCT 101, Computer Programming, 3, 3, 1, 3
1, ENME 101, Engineering Drawing, 2, 2, 0, 4
1, ENEX 101, Fundamental of Electrical and Electronics Engineering, 3, 3, 1, 3
1, ENME 106, Engineering Workshop, 1, 1, 0, 3
2, ENSH 151, Engineering Mathematics II, 3, 3, 2, 0
2, ENCT 151, Object Oriented Programming, 3, 3, 1, 3
2, ENEX 151, Electronic Device and Circuits, 3, 3, 1, 3
2, ENEX 152, Digital Logic, 3, 3, 1, 3
2, ENEE 154, Electrical Circuits and Machines, 4, 4, 1, 1.5
2, ENSH 153, Engineering Chemistry, 3, 3, 1, 3
3, ENSH 201, Engineering Mathematics III, 3, 3, 2, 0
3, ENSH 204, Communication English, 3, 3, 0, 1
3, ENCT 201, Computer Graphics and Visualization, 3, 3, 1, 3
3, ENEX 201, Microprocessors, 3, 3, 1, 3
3, ENEX 202, Advanced Electronics, 3, 3, 1, 1.5
3, ENEE 204, Control System, 3, 3, 1, 1.5
4, ENSH 252, Numerical Methods, 3, 3, 1, 3
4, ENCT 251, Discrete Structure, 3, 3, 1, 0
4, ENEX 252, Instrumentation, 4, 4, 1, 1.5
4, ENEX 253, Computer Organization & Architecture, 3, 3, 1, 1.5
4, ENEX 254, Electromagnetics, 3, 3, 1, 1.5
4, ENEX 255, Signals and Systems, 3, 3, 1, 1.5
5, ENSH 304, Probability and Statistics, 3, 3, 1, 0
5, ENCT 305, Artificial Intelligence, 3, 3, 1, 1.5
5, ENEX 301, Filter Design, 3, 3, 1, 1.5
5, ENEX 302, Embedded Systems, 3, 3, 1, 1.5
5, ENEX 303, Propagation and Antennna, 3, 3, 1, 1.5
5, ENEX 325-344, Elective I, 3, 3, 2, 1
6, ENCT 355, ICT Project Management, 3, 3, 1, 0
6, ENCE 356, Engineering Economics, 3, 3, 1, 0
6, ENEX 351, Communication Systems, 4, 4, 1, 3
6, ENEX 352, Telecommunication and Computer Networks, 3, 3, 1, 3
6, ENEX 353, Minor Project, 1, 0, 0, 0
6, ENEX 385-399, Elective II, 3, 3, 2, 1
7, ENEX 411, RF and Microwave Engineering, 3, 3, 1, 1.5
7, ENEX 412, Robotics, 3, 3, 1, 1.5
7, ENEX 413, Digital Signal Processing, 3, 3, 1, 1.5
7, ENEX 435-444, Elective III, 3, 3, 2, 1
7, ENEX 414, Project I, 2, 0, 0, 0
7, ENEX 415, Wireless Communication, 3, 3, 1, 1.5
8, ENEX 463, Energy Environment and Social Engineering, 3, 3, 0, 0
8, ENEX 462, Internship, 4, 0, 0, 0
8, ENEX 465-484, Elective IV, 3, 3, 2, 1
8, ENEX 461, Project II, 4, 0, 0, 0
